hpi_type,frequency,level,place_name,place_id,yr,period,index_nsa,,
traditional,quarterly,State,Alaska,AK,1986,4,135.93,,
traditional,quarterly,State,Alaska,AK,1987,1,132.64,,
traditional,quarterly,State,Alaska,AK,1987,2,123.75,,
traditional,quarterly,State,Alaska,AK,1987,3,115.22,,
traditional,quarterly,State,Alaska,AK,1987,4,104.12,,
traditional,quarterly,State,Alaska,AK,1988,1,120.27,,
traditional,quarterly,State,Alaska,AK,1988,2,114.88,,
traditional,quarterly,State,Alaska,AK,1988,3,125.93,,
traditional,quarterly,State,Alaska,AK,1988,4,131.32,,
traditional,quarterly,State,Alaska,AK,1989,1,127.46,,
traditional,quarterly,State,Alaska,AK,1989,2,103.35,,
traditional,quarterly,State,Alaska,AK,1989,3,103.27,,
traditional,quarterly,State,Alaska,AK,1989,4,101.39,,
traditional,quarterly,State,Alaska,AK,1990,1,97.98,,
traditional,quarterly,State,Alaska,AK,1990,2,111.09,,
traditional,quarterly,State,Alaska,AK,1990,3,120.95,,
traditional,quarterly,State,Alaska,AK,1990,4,118.21,,
traditional,quarterly,State,Alaska,AK,1991,1,123.55,,
traditional,quarterly,State,Alaska,AK,1991,2,126.2,,
traditional,quarterly,State,Alaska,AK,1991,3,130.27,,
traditional,quarterly,State,Alaska,AK,1991,4,130.56,,
traditional,quarterly,State,Alaska,AK,1992,1,131.9,,
traditional,quarterly,State,Alaska,AK,1992,2,133.41,,
traditional,quarterly,State,Alaska,AK,1992,3,134.09,,
traditional,quarterly,State,Alaska,AK,1992,4,134.97,,
traditional,quarterly,State,Alaska,AK,1993,1,134.59,,
traditional,quarterly,State,Alaska,AK,1993,2,135.07,,
traditional,quarterly,State,Alaska,AK,1993,3,137.51,,
traditional,quarterly,State,Alaska,AK,1993,4,138.23,,
traditional,quarterly,State,Alaska,AK,1994,1,139.29,,
traditional,quarterly,State,Alaska,AK,1994,2,142.55,,
traditional,quarterly,State,Alaska,AK,1994,3,144.53,,
traditional,quarterly,State,Alaska,AK,1994,4,143.39,,
traditional,quarterly,State,Alaska,AK,1995,1,145.94,,
traditional,quarterly,State,Alaska,AK,1995,2,148.21,,
traditional,quarterly,State,Alaska,AK,1995,3,149.78,,
traditional,quarterly,State,Alaska,AK,1995,4,149.86,,
traditional,quarterly,State,Alaska,AK,1996,1,152.64,,
traditional,quarterly,State,Alaska,AK,1996,2,154.98,,
traditional,quarterly,State,Alaska,AK,1996,3,156,,
traditional,quarterly,State,Alaska,AK,1996,4,157.66,,
traditional,quarterly,State,Alaska,AK,1997,1,157.55,,
traditional,quarterly,State,Alaska,AK,1997,2,158.7,,
traditional,quarterly,State,Alaska,AK,1997,3,159.91,,
traditional,quarterly,State,Alaska,AK,1997,4,161.89,,
traditional,quarterly,State,Alaska,AK,1998,1,161.76,,
traditional,quarterly,State,Alaska,AK,1998,2,164.48,,
traditional,quarterly,State,Alaska,AK,1998,3,165.86,,
traditional,quarterly,State,Alaska,AK,1998,4,165.75,,
traditional,quarterly,State,Alaska,AK,1999,1,167.73,,
traditional,quarterly,State,Alaska,AK,1999,2,171.44,,
traditional,quarterly,State,Alaska,AK,1999,3,170.8,,
traditional,quarterly,State,Alaska,AK,1999,4,171.13,,
traditional,quarterly,State,Alaska,AK,2000,1,170.9,,
traditional,quarterly,State,Alaska,AK,2000,2,173.01,,
traditional,quarterly,State,Alaska,AK,2000,3,174.09,,
traditional,quarterly,State,Alaska,AK,2000,4,174.59,,
traditional,quarterly,State,Alaska,AK,2001,1,177.7,,
traditional,quarterly,State,Alaska,AK,2001,2,181.21,,
traditional,quarterly,State,Alaska,AK,2001,3,183.97,,
traditional,quarterly,State,Alaska,AK,2001,4,184.19,,
traditional,quarterly,State,Alaska,AK,2002,1,187.27,,
traditional,quarterly,State,Alaska,AK,2002,2,192.36,,
traditional,quarterly,State,Alaska,AK,2002,3,193.87,,
traditional,quarterly,State,Alaska,AK,2002,4,193.41,,
traditional,quarterly,State,Alaska,AK,2003,1,194.5,,
traditional,quarterly,State,Alaska,AK,2003,2,197.61,,
traditional,quarterly,State,Alaska,AK,2003,3,202.07,,
traditional,quarterly,State,Alaska,AK,2003,4,209.8,,
traditional,quarterly,State,Alaska,AK,2004,1,211.41,,
traditional,quarterly,State,Alaska,AK,2004,2,216.44,,
traditional,quarterly,State,Alaska,AK,2004,3,227.55,,
traditional,quarterly,State,Alaska,AK,2004,4,229.94,,
traditional,quarterly,State,Alaska,AK,2005,1,235.55,,
traditional,quarterly,State,Alaska,AK,2005,2,244.79,,
traditional,quarterly,State,Alaska,AK,2005,3,253.23,,
traditional,quarterly,State,Alaska,AK,2005,4,261.29,,
traditional,quarterly,State,Alaska,AK,2006,1,265.17,,
traditional,quarterly,State,Alaska,AK,2006,2,271.67,,
traditional,quarterly,State,Alaska,AK,2006,3,276.88,,
traditional,quarterly,State,Alaska,AK,2006,4,278.43,,
traditional,quarterly,State,Alaska,AK,2007,1,282.38,,
traditional,quarterly,State,Alaska,AK,2007,2,285.37,,
traditional,quarterly,State,Alaska,AK,2007,3,283.98,,
traditional,quarterly,State,Alaska,AK,2007,4,283.36,,
traditional,quarterly,State,Alaska,AK,2008,1,283.19,,
traditional,quarterly,State,Alaska,AK,2008,2,283.77,,
traditional,quarterly,State,Alaska,AK,2008,3,280.32,,
traditional,quarterly,State,Alaska,AK,2008,4,282.91,,
traditional,quarterly,State,Alaska,AK,2009,1,283.44,,
traditional,quarterly,State,Alaska,AK,2009,2,280.57,,
traditional,quarterly,State,Alaska,AK,2009,3,279.56,,
traditional,quarterly,State,Alaska,AK,2009,4,280.95,,
traditional,quarterly,State,Alaska,AK,2010,1,276.76,,
traditional,quarterly,State,Alaska,AK,2010,2,279.24,,
traditional,quarterly,State,Alaska,AK,2010,3,280.48,,
traditional,quarterly,State,Alaska,AK,2010,4,281.43,,
traditional,quarterly,State,Alaska,AK,2011,1,281.23,,
traditional,quarterly,State,Alaska,AK,2011,2,280.83,,
traditional,quarterly,State,Alaska,AK,2011,3,281.27,,
traditional,quarterly,State,Alaska,AK,2011,4,283.83,,
traditional,quarterly,State,Alaska,AK,2012,1,281.95,,
traditional,quarterly,State,Alaska,AK,2012,2,281.3,,
traditional,quarterly,State,Alaska,AK,2012,3,283.65,,
traditional,quarterly,State,Alaska,AK,2012,4,286.57,,
traditional,quarterly,State,Alaska,AK,2013,1,289.54,,
traditional,quarterly,State,Alaska,AK,2013,2,290.81,,
traditional,quarterly,State,Alaska,AK,2013,3,293.52,,
traditional,quarterly,State,Alaska,AK,2013,4,294.69,,
traditional,quarterly,State,Alaska,AK,2014,1,291.6,,
traditional,quarterly,State,Alaska,AK,2014,2,299.47,,
traditional,quarterly,State,Alaska,AK,2014,3,303.08,,
traditional,quarterly,State,Alaska,AK,2014,4,302.66,,
traditional,quarterly,State,Alaska,AK,2015,1,304.04,,
traditional,quarterly,State,Alaska,AK,2015,2,306.76,,
traditional,quarterly,State,Alaska,AK,2015,3,313.28,,
traditional,quarterly,State,Alaska,AK,2015,4,315.47,,
traditional,quarterly,State,Alabama,AL,1975,1,73.66,,
traditional,quarterly,State,Alabama,AL,1975,2,71.52,,
traditional,quarterly,State,Alabama,AL,1975,3,74.8,,
traditional,quarterly,State,Alabama,AL,1975,4,71.6,,
traditional,quarterly,State,Alabama,AL,1976,1,77.2,,
traditional,quarterly,State,Alabama,AL,1976,2,77.25,,
traditional,quarterly,State,Alabama,AL,1976,3,77.6,,
traditional,quarterly,State,Alabama,AL,1976,4,80.12,,
traditional,quarterly,State,Alabama,AL,1977,1,82.33,,
traditional,quarterly,State,Alabama,AL,1977,2,84.29,,
traditional,quarterly,State,Alabama,AL,1977,3,89.18,,
traditional,quarterly,State,Alabama,AL,1977,4,89.67,,
traditional,quarterly,State,Alabama,AL,1978,1,89.37,,
traditional,quarterly,State,Alabama,AL,1978,2,89.9,,
traditional,quarterly,State,Alabama,AL,1978,3,97.72,,
traditional,quarterly,State,Alabama,AL,1978,4,98,,
traditional,quarterly,State,Alabama,AL,1979,1,100.79,,
traditional,quarterly,State,Alabama,AL,1979,2,101.24,,
traditional,quarterly,State,Alabama,AL,1979,3,102.49,,
traditional,quarterly,State,Alabama,AL,1979,4,109.33,,
traditional,quarterly,State,Alabama,AL,1980,1,100,,
traditional,quarterly,State,Alabama,AL,1980,2,102.82,,
traditional,quarterly,State,Alabama,AL,1980,3,111.21,,
traditional,quarterly,State,Alabama,AL,1980,4,109.44,,
traditional,quarterly,State,Alabama,AL,1981,1,107.12,,
traditional,quarterly,State,Alabama,AL,1981,2,110.46,,
traditional,quarterly,State,Alabama,AL,1981,3,114.11,,
traditional,quarterly,State,Alabama,AL,1981,4,109.38,,
traditional,quarterly,State,Alabama,AL,1982,1,110.02,,
traditional,quarterly,State,Alabama,AL,1982,2,109.93,,
traditional,quarterly,State,Alabama,AL,1982,3,108.76,,
traditional,quarterly,State,Alabama,AL,1982,4,116.45,,
traditional,quarterly,State,Alabama,AL,1983,1,116.25,,
traditional,quarterly,State,Alabama,AL,1983,2,115.69,,
traditional,quarterly,State,Alabama,AL,1983,3,118.42,,
traditional,quarterly,State,Alabama,AL,1983,4,115.7,,
traditional,quarterly,State,Alabama,AL,1984,1,124.32,,
traditional,quarterly,State,Alabama,AL,1984,2,121.21,,
traditional,quarterly,State,Alabama,AL,1984,3,126.1,,
traditional,quarterly,State,Alabama,AL,1984,4,122.73,,
traditional,quarterly,State,Alabama,AL,1985,1,122.8,,
traditional,quarterly,State,Alabama,AL,1985,2,125.87,,
traditional,quarterly,State,Alabama,AL,1985,3,128.7,,
traditional,quarterly,State,Alabama,AL,1985,4,129.51,,
traditional,quarterly,State,Alabama,AL,1986,1,130.64,,
traditional,quarterly,State,Alabama,AL,1986,2,133.14,,
traditional,quarterly,State,Alabama,AL,1986,3,135.08,,
traditional,quarterly,State,Alabama,AL,1986,4,137.36,,
traditional,quarterly,State,Alabama,AL,1987,1,139.36,,
traditional,quarterly,State,Alabama,AL,1987,2,140.62,,
traditional,quarterly,State,Alabama,AL,1987,3,141.13,,
traditional,quarterly,State,Alabama,AL,1987,4,139.23,,
traditional,quarterly,State,Alabama,AL,1988,1,143.6,,
traditional,quarterly,State,Alabama,AL,1988,2,144.45,,
traditional,quarterly,State,Alabama,AL,1988,3,143.98,,
traditional,quarterly,State,Alabama,AL,1988,4,142.69,,
traditional,quarterly,State,Alabama,AL,1989,1,143.1,,
traditional,quarterly,State,Alabama,AL,1989,2,144.6,,
traditional,quarterly,State,Alabama,AL,1989,3,147.09,,
traditional,quarterly,State,Alabama,AL,1989,4,148.18,,
traditional,quarterly,State,Alabama,AL,1990,1,147.13,,
traditional,quarterly,State,Alabama,AL,1990,2,148.39,,
traditional,quarterly,State,Alabama,AL,1990,3,148.93,,
traditional,quarterly,State,Alabama,AL,1990,4,148.91,,
traditional,quarterly,State,Alabama,AL,1991,1,150.3,,
traditional,quarterly,State,Alabama,AL,1991,2,152.48,,
traditional,quarterly,State,Alabama,AL,1991,3,153.38,,
traditional,quarterly,State,Alabama,AL,1991,4,155.84,,
traditional,quarterly,State,Alabama,AL,1992,1,157.1,,
traditional,quarterly,State,Alabama,AL,1992,2,157.52,,
traditional,quarterly,State,Alabama,AL,1992,3,160.49,,
traditional,quarterly,State,Alabama,AL,1992,4,161.69,,
traditional,quarterly,State,Alabama,AL,1993,1,162.91,,
traditional,quarterly,State,Alabama,AL,1993,2,164.66,,
traditional,quarterly,State,Alabama,AL,1993,3,167.55,,
traditional,quarterly,State,Alabama,AL,1993,4,168.94,,
traditional,quarterly,State,Alabama,AL,1994,1,169.9,,
traditional,quarterly,State,Alabama,AL,1994,2,172.15,,
traditional,quarterly,State,Alabama,AL,1994,3,172.69,,
traditional,quarterly,State,Alabama,AL,1994,4,172.93,,
traditional,quarterly,State,Alabama,AL,1995,1,174.7,,
traditional,quarterly,State,Alabama,AL,1995,2,178,,
traditional,quarterly,State,Alabama,AL,1995,3,180.78,,
traditional,quarterly,State,Alabama,AL,1995,4,182.28,,
traditional,quarterly,State,Alabama,AL,1996,1,185.63,,
traditional,quarterly,State,Alabama,AL,1996,2,185.41,,
traditional,quarterly,State,Alabama,AL,1996,3,185.92,,
traditional,quarterly,State,Alabama,AL,1996,4,188.16,,
traditional,quarterly,State,Alabama,AL,1997,1,189.96,,
traditional,quarterly,State,Alabama,AL,1997,2,191.45,,
traditional,quarterly,State,Alabama,AL,1997,3,194.37,,
traditional,quarterly,State,Alabama,AL,1997,4,196.91,,
traditional,quarterly,State,Alabama,AL,1998,1,200.12,,
traditional,quarterly,State,Alabama,AL,1998,2,201.83,,
traditional,quarterly,State,Alabama,AL,1998,3,203.87,,
traditional,quarterly,State,Alabama,AL,1998,4,206.47,,
traditional,quarterly,State,Alabama,AL,1999,1,207.03,,
traditional,quarterly,State,Alabama,AL,1999,2,207.88,,
traditional,quarterly,State,Alabama,AL,1999,3,208.32,,
traditional,quarterly,State,Alabama,AL,1999,4,209.82,,
traditional,quarterly,State,Alabama,AL,2000,1,210.71,,
traditional,quarterly,State,Alabama,AL,2000,2,212.38,,
traditional,quarterly,State,Alabama,AL,2000,3,214.13,,
traditional,quarterly,State,Alabama,AL,2000,4,216.75,,
traditional,quarterly,State,Alabama,AL,2001,1,223.16,,
traditional,quarterly,State,Alabama,AL,2001,2,224.21,,
traditional,quarterly,State,Alabama,AL,2001,3,225.71,,
traditional,quarterly,State,Alabama,AL,2001,4,228.27,,
traditional,quarterly,State,Alabama,AL,2002,1,228.71,,
traditional,quarterly,State,Alabama,AL,2002,2,229.9,,
traditional,quarterly,State,Alabama,AL,2002,3,233.34,,
traditional,quarterly,State,Alabama,AL,2002,4,235.98,,
traditional,quarterly,State,Alabama,AL,2003,1,238.33,,
traditional,quarterly,State,Alabama,AL,2003,2,240.52,,
traditional,quarterly,State,Alabama,AL,2003,3,242.19,,
traditional,quarterly,State,Alabama,AL,2003,4,243.64,,
traditional,quarterly,State,Alabama,AL,2004,1,246.02,,
traditional,quarterly,State,Alabama,AL,2004,2,247.54,,
traditional,quarterly,State,Alabama,AL,2004,3,252.06,,
traditional,quarterly,State,Alabama,AL,2004,4,255.89,,
traditional,quarterly,State,Alabama,AL,2005,1,259.25,,
traditional,quarterly,State,Alabama,AL,2005,2,265.47,,
traditional,quarterly,State,Alabama,AL,2005,3,270.94,,
traditional,quarterly,State,Alabama,AL,2005,4,276.51,,
traditional,quarterly,State,Alabama,AL,2006,1,281.97,,
traditional,quarterly,State,Alabama,AL,2006,2,286.63,,
traditional,quarterly,State,Alabama,AL,2006,3,291.31,,
traditional,quarterly,State,Alabama,AL,2006,4,297,,
traditional,quarterly,State,Alabama,AL,2007,1,298.89,,
traditional,quarterly,State,Alabama,AL,2007,2,303.1,,
traditional,quarterly,State,Alabama,AL,2007,3,303.66,,
traditional,quarterly,State,Alabama,AL,2007,4,306.11,,
traditional,quarterly,State,Alabama,AL,2008,1,308.27,,
traditional,quarterly,State,Alabama,AL,2008,2,307.07,,
traditional,quarterly,State,Alabama,AL,2008,3,304.79,,
traditional,quarterly,State,Alabama,AL,2008,4,306.54,,
traditional,quarterly,State,Alabama,AL,2009,1,308.69,,
traditional,quarterly,State,Alabama,AL,2009,2,305.29,,
traditional,quarterly,State,Alabama,AL,2009,3,297.86,,
traditional,quarterly,State,Alabama,AL,2009,4,296.86,,
traditional,quarterly,State,Alabama,AL,2010,1,292.88,,
traditional,quarterly,State,Alabama,AL,2010,2,288.48,,
traditional,quarterly,State,Alabama,AL,2010,3,292.4,,
traditional,quarterly,State,Alabama,AL,2010,4,290.27,,
traditional,quarterly,State,Alabama,AL,2011,1,282.6,,
traditional,quarterly,State,Alabama,AL,2011,2,278.59,,
traditional,quarterly,State,Alabama,AL,2011,3,280.95,,
traditional,quarterly,State,Alabama,AL,2011,4,283.28,,
traditional,quarterly,State,Alabama,AL,2012,1,280.58,,
traditional,quarterly,State,Alabama,AL,2012,2,279.03,,
traditional,quarterly,State,Alabama,AL,2012,3,280.69,,
traditional,quarterly,State,Alabama,AL,2012,4,281.33,,
traditional,quarterly,State,Alabama,AL,2013,1,278.54,,
traditional,quarterly,State,Alabama,AL,2013,2,279.2,,
traditional,quarterly,State,Alabama,AL,2013,3,279.03,,
traditional,quarterly,State,Alabama,AL,2013,4,277.83,,
traditional,quarterly,State,Alabama,AL,2014,1,280.79,,
traditional,quarterly,State,Alabama,AL,2014,2,282.57,,
traditional,quarterly,State,Alabama,AL,2014,3,285.7,,
traditional,quarterly,State,Alabama,AL,2014,4,288.26,,
traditional,quarterly,State,Alabama,AL,2015,1,289.62,,
traditional,quarterly,State,Alabama,AL,2015,2,292.48,,
traditional,quarterly,State,Alabama,AL,2015,3,294.29,,
traditional,quarterly,State,Alabama,AL,2015,4,295.97,,
traditional,quarterly,State,Arkansas,AR,1975,1,66.45,,
traditional,quarterly,State,Arkansas,AR,1975,2,59.89,,
traditional,quarterly,State,Arkansas,AR,1975,3,65.25,,
traditional,quarterly,State,Arkansas,AR,1975,4,60.92,,
traditional,quarterly,State,Arkansas,AR,1976,1,66.38,,
traditional,quarterly,State,Arkansas,AR,1976,2,69.22,,
traditional,quarterly,State,Arkansas,AR,1976,3,71.49,,
traditional,quarterly,State,Arkansas,AR,1976,4,72.72,,
traditional,quarterly,State,Arkansas,AR,1977,1,73.58,,
traditional,quarterly,State,Arkansas,AR,1977,2,75.16,,
traditional,quarterly,State,Arkansas,AR,1977,3,78.24,,
traditional,quarterly,State,Arkansas,AR,1977,4,81.48,,
traditional,quarterly,State,Arkansas,AR,1978,1,81.3,,
traditional,quarterly,State,Arkansas,AR,1978,2,83.06,,
traditional,quarterly,State,Arkansas,AR,1978,3,85.79,,
traditional,quarterly,State,Arkansas,AR,1978,4,85.47,,
traditional,quarterly,State,Arkansas,AR,1979,1,92.32,,
traditional,quarterly,State,Arkansas,AR,1979,2,95.11,,
traditional,quarterly,State,Arkansas,AR,1979,3,100.09,,
traditional,quarterly,State,Arkansas,AR,1979,4,102.39,,
traditional,quarterly,State,Arkansas,AR,1980,1,100,,
traditional,quarterly,State,Arkansas,AR,1980,2,100.96,,
traditional,quarterly,State,Arkansas,AR,1980,3,106.59,,
traditional,quarterly,State,Arkansas,AR,1980,4,108.64,,
traditional,quarterly,State,Arkansas,AR,1981,1,109.93,,
traditional,quarterly,State,Arkansas,AR,1981,2,106.68,,
traditional,quarterly,State,Arkansas,AR,1981,3,109.96,,
traditional,quarterly,State,Arkansas,AR,1981,4,102.46,,
traditional,quarterly,State,Arkansas,AR,1982,1,103.25,,
traditional,quarterly,State,Arkansas,AR,1982,2,106.24,,
traditional,quarterly,State,Arkansas,AR,1982,3,110.75,,
traditional,quarterly,State,Arkansas,AR,1982,4,110.45,,
traditional,quarterly,State,Arkansas,AR,1983,1,112.7,,
traditional,quarterly,State,Arkansas,AR,1983,2,116.1,,
traditional,quarterly,State,Arkansas,AR,1983,3,117.81,,
traditional,quarterly,State,Arkansas,AR,1983,4,117.84,,
traditional,quarterly,State,Arkansas,AR,1984,1,119.62,,
traditional,quarterly,State,Arkansas,AR,1984,2,118.42,,
traditional,quarterly,State,Arkansas,AR,1984,3,119.26,,
traditional,quarterly,State,Arkansas,AR,1984,4,120.62,,
traditional,quarterly,State,Arkansas,AR,1985,1,121.11,,
traditional,quarterly,State,Arkansas,AR,1985,2,119.56,,
traditional,quarterly,State,Arkansas,AR,1985,3,123.84,,
traditional,quarterly,State,Arkansas,AR,1985,4,124.1,,
traditional,quarterly,State,Arkansas,AR,1986,1,125.74,,
traditional,quarterly,State,Arkansas,AR,1986,2,128.34,,
traditional,quarterly,State,Arkansas,AR,1986,3,126.38,,
traditional,quarterly,State,Arkansas,AR,1986,4,127.89,,
traditional,quarterly,State,Arkansas,AR,1987,1,128.97,,
traditional,quarterly,State,Arkansas,AR,1987,2,130.52,,
traditional,quarterly,State,Arkansas,AR,1987,3,127.4,,
traditional,quarterly,State,Arkansas,AR,1987,4,124.03,,
traditional,quarterly,State,Arkansas,AR,1988,1,126.35,,
traditional,quarterly,State,Arkansas,AR,1988,2,126.86,,
traditional,quarterly,State,Arkansas,AR,1988,3,126.68,,
traditional,quarterly,State,Arkansas,AR,1988,4,126.39,,
traditional,quarterly,State,Arkansas,AR,1989,1,126.96,,
traditional,quarterly,State,Arkansas,AR,1989,2,127.14,,
traditional,quarterly,State,Arkansas,AR,1989,3,127.99,,
traditional,quarterly,State,Arkansas,AR,1989,4,127.1,,
traditional,quarterly,State,Arkansas,AR,1990,1,127.78,,
traditional,quarterly,State,Arkansas,AR,1990,2,127.76,,
traditional,quarterly,State,Arkansas,AR,1990,3,128.82,,
traditional,quarterly,State,Arkansas,AR,1990,4,128,,
traditional,quarterly,State,Arkansas,AR,1991,1,129.45,,
traditional,quarterly,State,Arkansas,AR,1991,2,130.34,,
traditional,quarterly,State,Arkansas,AR,1991,3,131.39,,
traditional,quarterly,State,Arkansas,AR,1991,4,133.53,,
traditional,quarterly,State,Arkansas,AR,1992,1,134.54,,
traditional,quarterly,State,Arkansas,AR,1992,2,133.76,,
traditional,quarterly,State,Arkansas,AR,1992,3,136.21,,
traditional,quarterly,State,Arkansas,AR,1992,4,137.08,,
traditional,quarterly,State,Arkansas,AR,1993,1,138.24,,
traditional,quarterly,State,Arkansas,AR,1993,2,140.45,,
traditional,quarterly,State,Arkansas,AR,1993,3,142.93,,
traditional,quarterly,State,Arkansas,AR,1993,4,144.63,,
traditional,quarterly,State,Arkansas,AR,1994,1,147.58,,
traditional,quarterly,State,Arkansas,AR,1994,2,148.78,,
traditional,quarterly,State,Arkansas,AR,1994,3,150.42,,
traditional,quarterly,State,Arkansas,AR,1994,4,152.04,,
traditional,quarterly,State,Arkansas,AR,1995,1,152.5,,
traditional,quarterly,State,Arkansas,AR,1995,2,156.71,,
traditional,quarterly,State,Arkansas,AR,1995,3,158.68,,
traditional,quarterly,State,Arkansas,AR,1995,4,159.25,,
traditional,quarterly,State,Arkansas,AR,1996,1,161.94,,
traditional,quarterly,State,Arkansas,AR,1996,2,161.98,,
traditional,quarterly,State,Arkansas,AR,1996,3,161.92,,
traditional,quarterly,State,Arkansas,AR,1996,4,163.71,,
traditional,quarterly,State,Arkansas,AR,1997,1,165.14,,
traditional,quarterly,State,Arkansas,AR,1997,2,166.72,,
traditional,quarterly,State,Arkansas,AR,1997,3,167.4,,
traditional,quarterly,State,Arkansas,AR,1997,4,169.6,,
traditional,quarterly,State,Arkansas,AR,1998,1,171.57,,
traditional,quarterly,State,Arkansas,AR,1998,2,171.54,,
traditional,quarterly,State,Arkansas,AR,1998,3,174.21,,
traditional,quarterly,State,Arkansas,AR,1998,4,176.36,,
traditional,quarterly,State,Arkansas,AR,1999,1,177.03,,
traditional,quarterly,State,Arkansas,AR,1999,2,177.27,,
traditional,quarterly,State,Arkansas,AR,1999,3,177.95,,
traditional,quarterly,State,Arkansas,AR,1999,4,178.61,,
traditional,quarterly,State,Arkansas,AR,2000,1,179.5,,
traditional,quarterly,State,Arkansas,AR,2000,2,181.18,,
traditional,quarterly,State,Arkansas,AR,2000,3,182.24,,
traditional,quarterly,State,Arkansas,AR,2000,4,184.7,,
traditional,quarterly,State,Arkansas,AR,2001,1,189.25,,
traditional,quarterly,State,Arkansas,AR,2001,2,190.47,,
traditional,quarterly,State,Arkansas,AR,2001,3,192.37,,
traditional,quarterly,State,Arkansas,AR,2001,4,194.34,,
traditional,quarterly,State,Arkansas,AR,2002,1,195.2,,
traditional,quarterly,State,Arkansas,AR,2002,2,196.07,,
traditional,quarterly,State,Arkansas,AR,2002,3,199.24,,
traditional,quarterly,State,Arkansas,AR,2002,4,201.65,,
traditional,quarterly,State,Arkansas,AR,2003,1,203.16,,
traditional,quarterly,State,Arkansas,AR,2003,2,204.4,,
traditional,quarterly,State,Arkansas,AR,2003,3,206.99,,
traditional,quarterly,State,Arkansas,AR,2003,4,209.98,,
traditional,quarterly,State,Arkansas,AR,2004,1,212.55,,
traditional,quarterly,State,Arkansas,AR,2004,2,216.21,,
traditional,quarterly,State,Arkansas,AR,2004,3,219.74,,
traditional,quarterly,State,Arkansas,AR,2004,4,223.59,,
traditional,quarterly,State,Arkansas,AR,2005,1,226.63,,
traditional,quarterly,State,Arkansas,AR,2005,2,231.99,,
traditional,quarterly,State,Arkansas,AR,2005,3,236.98,,
traditional,quarterly,State,Arkansas,AR,2005,4,240.22,,
traditional,quarterly,State,Arkansas,AR,2006,1,244.05,,
traditional,quarterly,State,Arkansas,AR,2006,2,247.32,,
traditional,quarterly,State,Arkansas,AR,2006,3,249.85,,
traditional,quarterly,State,Arkansas,AR,2006,4,252.12,,
traditional,quarterly,State,Arkansas,AR,2007,1,254.24,,
traditional,quarterly,State,Arkansas,AR,2007,2,255.93,,
traditional,quarterly,State,Arkansas,AR,2007,3,255.47,,
traditional,quarterly,State,Arkansas,AR,2007,4,256.84,,
traditional,quarterly,State,Arkansas,AR,2008,1,256.71,,
traditional,quarterly,State,Arkansas,AR,2008,2,255.7,,
